2023-12-02 15:42:50.579 +07:00 [INF] Call.. api/BankStatement/ImportFile/Import
2023-12-02 15:42:50.592 +07:00 [INF] Unzip : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement.zip
2023-12-02 15:42:51.067 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_5066029443.txt
2023-12-02 15:42:51.071 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_5076039131.txt
2023-12-02 15:42:51.076 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_5106044197.txt
2023-12-02 15:42:51.080 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_5126008234.txt
2023-12-02 15:42:51.085 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_5336015865.txt
2023-12-02 15:42:51.090 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_6016044881.txt
2023-12-02 15:42:51.094 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_6036028482.txt
2023-12-02 15:42:51.099 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_6046034566.txt
2023-12-02 15:42:51.104 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_6056025438.txt
2023-12-02 15:42:51.108 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_6106024162.txt
2023-12-02 15:42:51.114 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_6146033480.txt
2023-12-02 15:42:51.123 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_6166031009.txt
2023-12-02 15:42:51.127 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_6206046346.txt
