2023-12-08 06:26:56.670 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230921_0236035053.txt
2023-12-08 06:26:56.675 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230921_0236060678.txt
2023-12-08 06:26:56.681 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230922_0231072228.txt
2023-12-08 06:26:56.685 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230922_0236035053.txt
2023-12-08 06:26:56.689 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230922_0236060678.txt
2023-12-08 06:26:56.693 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230923_0231072228.txt
2023-12-08 06:26:56.696 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230923_0236035053.txt
2023-12-08 06:26:56.700 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230923_0236060678.txt
2023-12-08 06:26:56.703 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230924_0231072228.txt
2023-12-08 06:26:56.707 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230924_0236035053.txt
2023-12-08 06:26:56.710 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230924_0236060678.txt
2023-12-08 06:26:56.714 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230925_0231072228.txt
2023-12-08 06:26:56.717 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230925_0236035053.txt
2023-12-08 06:26:56.720 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230925_0236060678.txt
2023-12-08 06:26:56.724 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230926_0231072228.txt
2023-12-08 06:26:56.727 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230926_0236035053.txt
2023-12-08 06:26:56.731 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230926_0236060678.txt
2023-12-08 06:26:56.733 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230927_0231072228.txt
2023-12-08 06:26:56.736 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230927_0236035053.txt
2023-12-08 06:26:56.740 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230927_0236060678.txt
2023-12-08 06:26:56.743 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230928_0231072228.txt
2023-12-08 06:26:56.747 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230928_0236035053.txt
2023-12-08 06:26:56.750 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230928_0236060678.txt
2023-12-08 06:26:56.752 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230929_0231072228.txt
2023-12-08 06:26:56.755 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230929_0236035053.txt
2023-12-08 06:26:56.759 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230929_0236060678.txt
2023-12-08 06:26:56.761 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_0231072228.txt
2023-12-08 06:26:56.764 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_0236035053.txt
2023-12-08 06:26:56.768 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_0236060678.txt
2023-12-08 06:26:56.772 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_1016044887.txt
2023-12-08 06:26:56.775 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_1116012685.txt
2023-12-08 06:26:56.778 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_1156000955.txt
2023-12-08 06:26:56.782 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_1166002780.txt
2023-12-08 06:26:56.786 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_1186030852.txt
2023-12-08 06:26:56.789 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_2016030259.txt
2023-12-08 06:26:56.793 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_2046006062.txt
2023-12-08 06:26:56.795 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_2076044310.txt
2023-12-08 06:26:56.799 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_2086043252.txt
2023-12-08 06:26:56.802 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_2116013399.txt
2023-12-08 06:26:56.806 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_2136037749.txt
2023-12-08 06:26:56.808 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_2156030596.txt
2023-12-08 06:26:56.811 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_2186023792.txt
2023-12-08 06:26:56.814 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_2216009679.txt
2023-12-08 06:26:56.817 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_2336001055.txt
2023-12-08 06:26:56.821 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_3066002233.txt
2023-12-08 06:26:56.824 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_3086018852.txt
2023-12-08 06:26:56.827 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_3106016159.txt
2023-12-08 06:26:56.831 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_3116008418.txt
2023-12-08 06:26:56.835 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_3226024418.txt
2023-12-08 06:26:56.839 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_3426001209.txt
2023-12-08 06:26:56.842 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_4016004292.txt
2023-12-08 06:26:56.846 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_4036025988.txt
2023-12-08 06:26:56.850 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_4046013060.txt
2023-12-08 06:26:56.853 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_4056007179.txt
2023-12-08 06:26:56.856 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_4086006197.txt
2023-12-08 06:26:56.860 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_4096030112.txt
2023-12-08 06:26:56.863 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_4116040789.txt
2023-12-08 06:26:56.867 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_4126000135.txt
2023-12-08 06:26:56.870 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_4136032447.txt
2023-12-08 06:26:56.873 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_4206006032.txt
2023-12-08 06:26:56.877 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_5036027612.txt
2023-12-08 06:26:56.881 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_5046009560.txt
2023-12-08 06:26:56.884 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_5056021873.txt
2023-12-08 06:26:56.887 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_5066029443.txt
2023-12-08 06:26:56.890 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_5076039131.txt
2023-12-08 06:26:56.893 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_5106044197.txt
2023-12-08 06:26:56.897 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_5126008234.txt
2023-12-08 06:26:56.900 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_5336015865.txt
2023-12-08 06:26:56.903 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_6016044881.txt
2023-12-08 06:26:56.907 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_6036028482.txt
2023-12-08 06:26:56.912 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_6046034566.txt
2023-12-08 06:26:56.916 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_6056025438.txt
2023-12-08 06:26:56.919 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_6106024162.txt
2023-12-08 06:26:56.922 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_6146033480.txt
2023-12-08 06:26:56.925 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_6166031009.txt
2023-12-08 06:26:56.929 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_6206046346.txt
