2023-12-20 17:49:26.877 +07:00 [INF] Call.. api/BankStatement/ImportFile/Import
2023-12-20 17:56:49.473 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230918_0231072228.txt
2023-12-20 17:56:49.477 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230918_0236035053.txt
2023-12-20 17:56:49.480 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230918_0236060678.txt
2023-12-20 17:56:49.484 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230919_0231072228.txt
2023-12-20 17:56:49.488 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230919_0236035053.txt
2023-12-20 17:56:49.491 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230919_0236060678.txt
2023-12-20 17:56:49.494 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230920_0231072228.txt
2023-12-20 17:56:49.498 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230920_0236035053.txt
2023-12-20 17:56:49.502 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230920_0236060678.txt
2023-12-20 17:56:49.506 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230921_0231072228.txt
2023-12-20 17:56:49.509 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230921_0236035053.txt
2023-12-20 17:56:49.512 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230921_0236060678.txt
2023-12-20 17:56:49.517 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230922_0231072228.txt
2023-12-20 17:56:49.520 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230922_0236035053.txt
2023-12-20 17:56:49.524 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230922_0236060678.txt
2023-12-20 17:56:49.527 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230923_0231072228.txt
2023-12-20 17:56:49.531 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230923_0236035053.txt
2023-12-20 17:56:49.534 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230923_0236060678.txt
2023-12-20 17:56:49.538 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230924_0231072228.txt
2023-12-20 17:56:49.542 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230924_0236035053.txt
2023-12-20 17:56:49.545 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230924_0236060678.txt
2023-12-20 17:56:49.550 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230925_0231072228.txt
2023-12-20 17:56:49.554 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230925_0236035053.txt
2023-12-20 17:56:49.558 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230925_0236060678.txt
2023-12-20 17:56:49.561 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230926_0231072228.txt
2023-12-20 17:56:49.565 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230926_0236035053.txt
2023-12-20 17:56:49.568 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230926_0236060678.txt
2023-12-20 17:56:49.572 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230927_0231072228.txt
2023-12-20 17:56:49.575 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230927_0236035053.txt
2023-12-20 17:56:49.579 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230927_0236060678.txt
2023-12-20 17:56:49.582 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230928_0231072228.txt
2023-12-20 17:56:49.585 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230928_0236035053.txt
2023-12-20 17:56:49.588 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230928_0236060678.txt
2023-12-20 17:56:49.591 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230929_0231072228.txt
2023-12-20 17:56:49.594 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230929_0236035053.txt
2023-12-20 17:56:49.598 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230929_0236060678.txt
2023-12-20 17:56:49.601 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_0231072228.txt
2023-12-20 17:56:49.604 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_0236035053.txt
2023-12-20 17:56:49.607 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_0236060678.txt
2023-12-20 17:56:49.611 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_1016044887.txt
2023-12-20 17:56:49.614 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_1116012685.txt
2023-12-20 17:56:49.618 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_1156000955.txt
2023-12-20 17:56:49.620 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_1166002780.txt
2023-12-20 17:56:49.624 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_1186030852.txt
2023-12-20 17:56:49.627 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_2016030259.txt
2023-12-20 17:56:49.631 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_2046006062.txt
2023-12-20 17:56:49.634 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_2076044310.txt
2023-12-20 17:56:49.637 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_2086043252.txt
2023-12-20 17:56:49.642 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_2116013399.txt
2023-12-20 17:56:49.645 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_2136037749.txt
2023-12-20 17:56:49.649 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_2156030596.txt
2023-12-20 17:56:49.652 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_2186023792.txt
