2023-12-27 18:09:01.202 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20231127-AKL1.txt
2023-12-27 18:09:01.206 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20231128-AKL1.txt
2023-12-27 18:09:01.210 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20231129-AKL1.txt
2023-12-27 18:09:01.214 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20231130-AKL1.txt
2023-12-27 18:09:04.138 +07:00 [INF] Call Ended.. api/BankStatement/ImportFile/Import
2023-12-27 18:10:09.545 +07:00 [INF] Call.. api/BankStatement/ImportFile/Import
2023-12-27 18:10:09.549 +07:00 [INF] Unzip : C:\CFRS\BANKSTATEMENT\KBANK\Statement.zip
2023-12-27 18:10:09.564 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KBANK\Statement\TXT-0181006692_1166.txt
2023-12-27 18:10:09.568 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KBANK\Statement\TXT-0181130040_1166.txt
2023-12-27 18:10:09.571 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KBANK\Statement\TXT-0182565407_1166.txt
2023-12-27 18:10:09.574 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KBANK\Statement\TXT-2471029427_1166.txt
2023-12-27 18:10:09.578 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KBANK\Statement\TXT-4271002837_1166.txt
2023-12-27 18:10:09.581 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KBANK\Statement\TXT-7141015774_1166.txt
2023-12-27 18:10:20.184 +07:00 [INF] Call Ended.. api/BankStatement/ImportFile/Import
2023-12-27 18:11:07.614 +07:00 [INF] Call.. api/BankStatement/ImportFile/Import
2023-12-27 18:11:07.619 +07:00 [INF] Unzip : C:\CFRS\BANKSTATEMENT\KTB\Statement.zip
2023-12-27 18:11:07.779 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231101_0231072228.txt
2023-12-27 18:11:07.782 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231101_0236035053.txt
2023-12-27 18:11:07.785 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231101_0236060678.txt
2023-12-27 18:11:07.789 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231102_0231072228.txt
2023-12-27 18:11:07.792 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231102_0236035053.txt
2023-12-27 18:11:07.795 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231102_0236060678.txt
2023-12-27 18:11:07.799 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231103_0231072228.txt
2023-12-27 18:11:07.802 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231103_0236035053.txt
2023-12-27 18:11:07.806 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231103_0236060678.txt
2023-12-27 18:11:07.810 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231104_0231072228.txt
2023-12-27 18:11:07.813 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231104_0236035053.txt
2023-12-27 18:11:07.816 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231104_0236060678.txt
2023-12-27 18:11:07.819 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231105_0231072228.txt
2023-12-27 18:11:07.823 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231105_0236035053.txt
2023-12-27 18:11:07.826 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231105_0236060678.txt
2023-12-27 18:11:07.829 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231106_0231072228.txt
2023-12-27 18:11:07.833 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231106_0236035053.txt
2023-12-27 18:11:07.836 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231106_0236060678.txt
2023-12-27 18:11:07.840 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231107_0231072228.txt
2023-12-27 18:11:07.843 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231107_0236035053.txt
2023-12-27 18:11:07.846 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231107_0236060678.txt
2023-12-27 18:11:07.849 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231108_0231072228.txt
2023-12-27 18:11:07.853 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231108_0236035053.txt
2023-12-27 18:11:07.857 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231108_0236060678.txt
2023-12-27 18:11:07.860 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231109_0231072228.txt
2023-12-27 18:11:07.864 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231109_0236035053.txt
2023-12-27 18:11:07.868 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231109_0236060678.txt
2023-12-27 18:11:07.872 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231110_0231072228.txt
2023-12-27 18:11:07.875 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231110_0236035053.txt
2023-12-27 18:11:07.878 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231110_0236060678.txt
2023-12-27 18:11:07.882 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231111_0231072228.txt
2023-12-27 18:11:07.886 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231111_0236035053.txt
2023-12-27 18:11:07.890 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231111_0236060678.txt
2023-12-27 18:11:07.894 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231112_0231072228.txt
2023-12-27 18:11:07.896 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231112_0236035053.txt
2023-12-27 18:11:07.900 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231112_0236060678.txt
2023-12-27 18:11:07.904 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231113_0231072228.txt
2023-12-27 18:11:07.922 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231113_0236035053.txt
2023-12-27 18:11:07.932 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231113_0236060678.txt
2023-12-27 18:11:07.935 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231114_0231072228.txt
2023-12-27 18:11:07.939 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231114_0236035053.txt
2023-12-27 18:11:07.942 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231114_0236060678.txt
2023-12-27 18:11:07.945 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231115_0231072228.txt
2023-12-27 18:11:07.949 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231115_0236035053.txt
2023-12-27 18:11:07.952 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231115_0236060678.txt
2023-12-27 18:11:07.957 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231116_0231072228.txt
2023-12-27 18:11:07.960 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231116_0236035053.txt
2023-12-27 18:11:07.964 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231116_0236060678.txt
2023-12-27 18:11:07.968 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231117_0231072228.txt
2023-12-27 18:11:07.971 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231117_0236035053.txt
2023-12-27 18:11:07.975 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231117_0236060678.txt
2023-12-27 18:11:07.979 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231118_0231072228.txt
2023-12-27 18:11:07.982 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231118_0236035053.txt
2023-12-27 18:11:07.986 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231118_0236060678.txt
2023-12-27 18:11:07.989 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231119_0231072228.txt
2023-12-27 18:11:07.994 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231119_0236035053.txt
2023-12-27 18:11:07.997 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231119_0236060678.txt
2023-12-27 18:11:08.000 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231120_0231072228.txt
2023-12-27 18:11:08.003 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231120_0236035053.txt
2023-12-27 18:11:08.006 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231120_0236060678.txt
2023-12-27 18:11:08.010 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231121_0231072228.txt
2023-12-27 18:11:08.013 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231121_0236035053.txt
2023-12-27 18:11:08.017 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231121_0236060678.txt
2023-12-27 18:11:08.020 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231122_0231072228.txt
2023-12-27 18:11:08.023 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231122_0236035053.txt
2023-12-27 18:11:08.027 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231122_0236060678.txt
2023-12-27 18:11:08.031 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231123_0231072228.txt
2023-12-27 18:11:08.034 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231123_0236035053.txt
2023-12-27 18:11:08.038 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231123_0236060678.txt
2023-12-27 18:11:08.041 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231124_0231072228.txt
2023-12-27 18:11:08.045 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231124_0236035053.txt
2023-12-27 18:11:08.048 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231124_0236060678.txt
2023-12-27 18:11:08.051 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231125_0231072228.txt
2023-12-27 18:11:08.054 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231125_0236035053.txt
2023-12-27 18:11:08.058 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231125_0236060678.txt
2023-12-27 18:11:08.061 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231126_0231072228.txt
2023-12-27 18:11:08.065 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231126_0236035053.txt
